,threading,video,time
243,FRAME,./videos/v_SoccerJuggling_g23_c01.avi,0.20546439810000267
244,default,./videos/SOX5yA1l24A.mp4,0.9567109224999968
245,AUTO,./videos/SOX5yA1l24A.mp4,0.5550385464999976
246,SLICE,./videos/SOX5yA1l24A.mp4,0.5666659657000082
247,FRAME,./videos/SOX5yA1l24A.mp4,0.3808162879000065
248,default,./videos/TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.051594261200000345
249,AUTO,./videos/TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.04470294699999613
250,SLICE,./videos/TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.05194088690000172
251,FRAME,./videos/TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.04826340600000094
252,default,./videos/R6llTwEh07w.mp4,0.5460714576999977
253,AUTO,./videos/R6llTwEh07w.mp4,0.42653751459999967
254,SLICE,./videos/R6llTwEh07w.mp4,0.5286468780000064
255,FRAME,./videos/R6llTwEh07w.mp4,0.343034051099994
256,default,./videos/v_SoccerJuggling_g24_c01.avi,0.20632413870000618
257,AUTO,./videos/v_SoccerJuggling_g24_c01.avi,0.19465980469999522
258,SLICE,./videos/v_SoccerJuggling_g24_c01.avi,0.21159066860000167
259,FRAME,./videos/v_SoccerJuggling_g24_c01.avi,0.19180937549999727
260,default,./videos/SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.07031952380000348
261,AUTO,./videos/SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.06280648440000505
262,SLICE,./videos/SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.06479959440000585
263,FRAME,./videos/SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.06205388230000608
264,default,./videos/WUzgd7C1pWA.mp4,0.5343167816000005
265,AUTO,./videos/WUzgd7C1pWA.mp4,0.38705446569999824
266,SLICE,./videos/WUzgd7C1pWA.mp4,0.5923593106999988
267,FRAME,./videos/WUzgd7C1pWA.mp4,0.47670464579999816
268,default,./videos/RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.11387113170000021
269,AUTO,./videos/RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.08046815570000945
270,SLICE,./videos/RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.09636858689999599
271,FRAME,./videos/RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.08233068499999945
272,default,./videos/v_SoccerJuggling_g23_c01.avi,0.20724975360000145
273,AUTO,./videos/v_SoccerJuggling_g23_c01.avi,0.20255944269999873
274,SLICE,./videos/v_SoccerJuggling_g23_c01.avi,0.21180504760000077
275,FRAME,./videos/v_SoccerJuggling_g23_c01.avi,0.18766138480000336
276,default,./videos/SOX5yA1l24A.mp4,0.49476513839999825
277,AUTO,./videos/SOX5yA1l24A.mp4,0.6136936264999917
278,SLICE,./videos/SOX5yA1l24A.mp4,0.5114162117000092
279,FRAME,./videos/SOX5yA1l24A.mp4,0.3761609145999955
280,default,./videos/TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.05102697859999807
281,AUTO,./videos/TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.049673446700001025
282,SLICE,./videos/TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.05249472379999816
283,FRAME,./videos/TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.04770284090000132
284,default,./videos/R6llTwEh07w.mp4,0.5267277177000096
285,AUTO,./videos/R6llTwEh07w.mp4,0.42986791890000403
286,SLICE,./videos/R6llTwEh07w.mp4,0.7974244792999912
287,FRAME,./videos/R6llTwEh07w.mp4,0.43497391229999494
288,default,./videos/v_SoccerJuggling_g24_c01.avi,0.16189926170000035
289,AUTO,./videos/v_SoccerJuggling_g24_c01.avi,0.18703599179999628
290,SLICE,./videos/v_SoccerJuggling_g24_c01.avi,0.2032713185000034
291,FRAME,./videos/v_SoccerJuggling_g24_c01.avi,0.19239309030000412
292,default,./videos/SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.09347790279999799
293,AUTO,./videos/SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.05679532049999807
294,SLICE,./videos/SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.05395409740000332
295,FRAME,./videos/SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.05111986970000544
296,default,./videos/WUzgd7C1pWA.mp4,0.46563921320000645
297,AUTO,./videos/WUzgd7C1pWA.mp4,0.31455197630000387
298,SLICE,./videos/WUzgd7C1pWA.mp4,0.4400552773999948
299,FRAME,./videos/WUzgd7C1pWA.mp4,0.25335418600000137
300,default,./videos/RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.07128016189999471
301,AUTO,./videos/RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.05922266610000406
302,SLICE,./videos/RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.06968037420000428
303,FRAME,./videos/RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.09817549699999972
304,default,./videos/v_SoccerJuggling_g23_c01.avi,0.1933846328999948
305,AUTO,./videos/v_SoccerJuggling_g23_c01.avi,0.15535333190000528
306,SLICE,./videos/v_SoccerJuggling_g23_c01.avi,0.2024560185000041
307,FRAME,./videos/v_SoccerJuggling_g23_c01.avi,0.1641336271
308,default,./videos/SOX5yA1l24A.mp4,0.44528681360000066
309,AUTO,./videos/SOX5yA1l24A.mp4,0.3009383724000031
310,SLICE,./videos/SOX5yA1l24A.mp4,0.4383632300000045
311,FRAME,./videos/SOX5yA1l24A.mp4,0.284462798800007
312,default,./videos/TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.04549719489999689
313,AUTO,./videos/TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.038032127899998616
314,SLICE,./videos/TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.04239360020000049
315,FRAME,./videos/TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.04048648780000121
316,default,./videos/R6llTwEh07w.mp4,0.45600056499999936
317,AUTO,./videos/R6llTwEh07w.mp4,0.3588100580000059
318,SLICE,./videos/R6llTwEh07w.mp4,0.5526786315000095
319,FRAME,./videos/R6llTwEh07w.mp4,0.37248785379999844
