,loader,video,time,num_frames,tv
150,tv_pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.028469889299958594,74,0.5.0
151,tv_vr,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.018132717300068178,74,0.5.0
152,tv_pyav,WUzgd7C1pWA.mp4,0.27566201409990754,327,0.5.0
153,tv_vr,WUzgd7C1pWA.mp4,0.2050289694998355,327,0.5.0
154,tv_pyav,v_SoccerJuggling_g24_c01.avi,0.08212636019998172,251,0.5.0
155,tv_vr,v_SoccerJuggling_g24_c01.avi,0.055256805099998016,251,0.5.0
156,tv_pyav,R6llTwEh07w.mp4,0.26010299080007826,303,0.5.0
157,tv_vr,R6llTwEh07w.mp4,0.19603405500001828,303,0.5.0
158,tv_pyav,v_SoccerJuggling_g23_c01.avi,0.08449390120003955,240,0.5.0
159,tv_vr,v_SoccerJuggling_g23_c01.avi,0.05759144550011115,240,0.5.0
