,loader,video,time
130,tv_vr,v_SoccerJuggling_g24_c01.avi,0.09540967799839564
131,decord,v_SoccerJuggling_g24_c01.avi,0.06076761439908296
132,CV2,R6llTwEh07w.mp4,0.07231635039788671
133,pyav,R6llTwEh07w.mp4,0.2425668086973019
134,pyav_notorgb,R6llTwEh07w.mp4,0.15600174379651435
135,tv_pyav,R6llTwEh07w.mp4,0.2903876578027848
136,tv_vr,R6llTwEh07w.mp4,0.29225155580206774
137,decord,R6llTwEh07w.mp4,0.09886265179957263
138,CV2,v_SoccerJuggling_g23_c01.avi,0.06596612129942514
139,pyav,v_SoccerJuggling_g23_c01.avi,0.08033631459693424
140,pyav_notorgb,v_SoccerJuggling_g23_c01.avi,0.03460657990071923
141,tv_pyav,v_SoccerJuggling_g23_c01.avi,0.0987831586971879
142,tv_vr,v_SoccerJuggling_g23_c01.avi,0.09470702440012246
143,decord,v_SoccerJuggling_g23_c01.avi,0.06807169310050085
144,CV2,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.06592928849859163
145,pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.034246883500600234
146,pyav_notorgb,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.01601516850059852
147,tv_pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.04132734419545159
148,tv_vr,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.04063165900297463
149,decord,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.11015104689868167
150,CV2,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.05071597710484639
151,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.02031556399888359
152,pyav_notorgb,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.009186218405375257
153,tv_pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.026159997994545846
154,tv_vr,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.02628995169652626
155,decord,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.05759644219651818
156,CV2,SOX5yA1l24A.mp4,0.0781032941013109
157,pyav,SOX5yA1l24A.mp4,0.21539851409615948
